,Year,Month_Num,S,E,I,R
106,2022,11,3603459.0,905.0,519.0,68920.0
107,2022,12,3603646.0,519.0,359.0,69279.0
108,2023,1,3603185.0,359.0,490.0,69769.0
109,2023,2,3603014.0,490.0,265.0,70034.0
110,2023,3,3603060.0,265.0,222.0,70256.0
111,2023,4,3602883.0,222.0,221.0,70477.0
112,2023,5,3602725.0,221.0,190.0,70667.0
113,2023,6,3602222.0,190.0,362.0,71029.0
114,2023,7,3601776.0,362.0,318.0,71347.0
115,2023,8,3601500.0,318.0,319.0,71666.0
116,2023,9,3600948.0,319.0,435.0,72101.0
117,2023,10,3599819.0,435.0,724.0,72825.0
118,2023,11,3598878.0,724.0,688.0,73513.0
119,2023,12,3598700.0,688.0,451.0,73964.0
