Sh,Eh,Ih,Rh,Sm,Em,Im
4001088.9698509434,4568.3749752652675,11538.298583089365,490092.3565907014,-4182.724200627231,-15.47032586259172,4931.860506854735
4000967.9581590863,4267.406059491838,10859.888059307752,491192.74772211415,-3851.1102351941763,-13.785015108498733,4590.932225605927
4000856.68923574,3985.827359069005,10218.368237054246,492227.11516813684,-3542.3997706936157,-12.275542210485224,4273.6092055473655
4000754.4879616485,3722.4346772346125,9612.01356181235,493199.0637993048,-3255.0084601598282,-10.924491035951394,3978.253427954357
4000660.7261367026,3476.093856958672,9039.151573046192,494112.0284332925,-2987.461841293509,-9.716049407318888,3703.3408620832784
4000574.819204879,3245.73722627602,8498.164341995669,494969.27922684955,-2738.3876828796765,-8.635878045115868,3447.4535082329835
4000496.223209367,3030.360163126912,7987.489439204389,495773.9271883022,-2506.5088681991606,-7.670987777985486,3209.2719979541503
4000424.4319610787,2829.01778462012,7505.620490391906,496528.9297639098,-2290.6367762365758,-6.809624937047129,2987.5687112823744
4000358.9744058824,2640.821762461767,7051.107369977377,497237.09646167903,-2089.6651265225782,-6.041164664975047,2781.2013758228804
4000299.412176474,2464.937266023366,6622.556078965148,497901.09447853785,-1902.5642547802465,-5.356011885635949,2589.107113890551
4000245.3373156637,2300.580033555978,6218.628350211888,498523.4543005687,-1728.3757885413784,-4.745509637190791,2410.296905903777
4000196.370159204,2147.0135705281014,5838.041018217984,499106.57525204995,-1566.207695073113,-4.201854408569096,2243.850441408747
4000152.1573666474,2003.546473914635,5479.56518902692,499652.7309704112,-1415.2296747705386,-3.718018121817634,2088.9113299459013
4000112.3700900762,1869.5298803233911,5142.0252399334095,500164.0747896672,-1274.6688763483373,-3.2876763982888515,1944.6826472105786
4000076.702270833,1744.3550352964821,4824.2976775730685,500642.64501629793,-1143.8059108250843,-2.9051427152660585,1810.422792602822
4000044.869055078,1627.4509810052962,4525.309879984749,501090.3700839326,-1021.9711429240996,-2.565308084363797,1685.4416359512422
