City/Municipality,Month,Year,Alive,Death
AMADEO,November,2020,1,
AMADEO,December,2020,2,
AMADEO,January,2021,3,
AMADEO,February,2021,2,
AMADEO,March,2021,2,
AMADEO,April,2021,1,
AMADEO,May,2021,5,
AMADEO,June,2021,3,
AMADEO,July,2021,5,
AMADEO,August,2021,4,
AMADEO,September,2021,1,
AMADEO,October,2021,1,
AMADEO,November,2021,0,
AMADEO,December,2021,4,
AMADEO,January,2022,0,
AMADEO,February,2022,3,
AMADEO,March,2022,1,
AMADEO,April,2022,0,
AMADEO,May,2022,0,
AMADEO,June,2022,2,
AMADEO,July,2022,12,
AMADEO,August,2022,28,
AMADEO,September,2022,25,
AMADEO,October,2022,25,
AMADEO,November,2022,1,
AMADEO,December,2022,3,
AMADEO,January,2023,0,
AMADEO,February,2023,0,
AMADEO,March,2023,2,
AMADEO,April,2023,4,
AMADEO,May,2023,3,
AMADEO,June,2023,4,
AMADEO,July,2023,1,
AMADEO,August,2023,2,
AMADEO,September,2023,3,
AMADEO,October,2023,10,
AMADEO,November,2023,2,
AMADEO,December,2023,1,
AMADEO,January,2024,2,
AMADEO,February,2024,1,
AMADEO,March,2024,3,
AMADEO,April,2024,1,
AMADEO,May,2024,3,
AMADEO,June,2024,1,
AMADEO,July,2024,8,
AMADEO,August,2024,14,
AMADEO,September,2024,13,
AMADEO,October,2024,11,
AMADEO,November,2024,12,
AMADEO,December,2024,10,
BACOOR,January,2014,85,0
BACOOR,February,2014,42,0
BACOOR,March,2014,21,0
BACOOR,April,2014,9,0
BACOOR,May,2014,3,0
BACOOR,June,2014,6,0
BACOOR,July,2014,15,0
BACOOR,August,2014,25,1
BACOOR,September,2014,27,0
BACOOR,October,2014,61,0
BACOOR,November,2014,105,1
BACOOR,December,2014,61,0
BACOOR,January,2015,104,
BACOOR,February,2015,72,
BACOOR,March,2015,72,
BACOOR,April,2015,72,
BACOOR,May,2015,16,
BACOOR,June,2015,11,0
BACOOR,July,2015,22,0
BACOOR,August,2015,58,0
BACOOR,September,2015,239,1
BACOOR,October,2015,477,1
BACOOR,November,2015,311,0
BACOOR,December,2015,108,1
BACOOR,January,2016,99,
BACOOR,February,2016,71,
BACOOR,March,2016,30,
BACOOR,April,2016,19,
BACOOR,May,2016,14,
BACOOR,June,2016,9,0
BACOOR,July,2016,25,0
BACOOR,August,2016,53,
BACOOR,September,2016,54,2
BACOOR,October,2016,54,
BACOOR,November,2016,60,0
BACOOR,December,2016,59,
BACOOR,January,2017,45,
BACOOR,February,2017,29,
BACOOR,March,2017,23,
BACOOR,April,2017,14,
BACOOR,May,2017,9,
BACOOR,June,2017,17,
BACOOR,July,2017,56,
BACOOR,August,2017,89,1
BACOOR,September,2017,99,1
BACOOR,October,2017,82,4
BACOOR,November,2017,103,
BACOOR,December,2017,79,
BACOOR,January,2018,160,
BACOOR,February,2018,88,
BACOOR,March,2018,35,
BACOOR,April,2018,15,
BACOOR,May,2018,15,
BACOOR,June,2018,10,
BACOOR,July,2018,41,1
BACOOR,August,2018,103,
BACOOR,September,2018,150,
BACOOR,October,2018,244,5
BACOOR,November,2018,230,3
BACOOR,December,2018,154,
BACOOR,January,2019,167,
BACOOR,February,2019,100,
